"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"109","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_4_2019"
"110","261","268","275","282","289",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_5_2019"
"111","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_6_2019"
"112","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_1_2019"
"113","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_2_2019"
"114","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_4_2019"
"115","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_5_2019"
"116","247","254","261","268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_6_2019"
"117","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_7_2019"
"118","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_8_2019"
"119","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_9_2019"
"120","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_04_01_2022"
"121","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_07_01_2022"
"122","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_09_01_2022"
"123","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_11_01_2022"
"124","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_15_01_2022"
"125","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_17_01_2022"
"126","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_33_01_2022"
"127","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_39_01_2022"
"128","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_55_01_2022"
"129","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_13_2023"
"130","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_15_2023"
"131","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_16_2023"
"132","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_18_2023"
"133","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_19_2023"
"134","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_2_2023"
"135","243","250","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_35_2023"
"136","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_36_2023"
"137","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_3_2023"
"138","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_43_2023"
"139","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_44_2023"
"140","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_45_2023"
"141","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_46_2023"
"142","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_54_2023"
"143","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_55_2023"
"144","244","251","258","265","272","279","286","293","300",NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_5_2023"
"145","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_10_2019"
"146","247","254","261","268","275","282","289","294",NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_11_2019"
"147","247","254","261","268","275","282","289",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_1_2019"
"148","249","256","263","270","277","284","291","297",NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_4_2019"
"149","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_5_2019"
"150","247","254","261","268","275","282","289",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_6_2019"
"151","263","270","277","284","291","298","305",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_03_JM1_01_2022"
"152","310","317","324","331","338","345","351",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_03_JM1_02_2022"
"153","263","270","277","284","291","298","305",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_04_JM3_01_2022"
"154","310","317","324","331","338","345","351",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_04_JM3_02_2022"
"155","263","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_05_JM11_01_2022"
"156","308","315","322","329","336","343","350",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_05_JM11_02_2022"
"157","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_07_LC_WT_2022"
"158","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_09_JM6_01_2022"
"159","263","270","277","284","291","298","305",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_10_JM4_01_2022"
"160","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_10_R7_01_2022"
"161","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_12b_LC_HR_2022"
"162","308","315","322","329","336","343","349",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_13_R5_02_2022"
"163","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14_H5_01_2022"
"164","308","315","322","329","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14_H5_02_2022"
"165","266","273","280","287","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14b_H3_01_2022"
"166","295","302","309","316","323","330","337",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14b_H3_02_2022"
"167","270","277","284","291","298","304",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_15_JM7_01_2022"
