Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
Blackfoot,BAC.BLCH_Rec064_Mem042.20190819_2019,2019,47.04448,-113.07418,2019-08-19,2019-10-24,66,Forest,Wild,3,0.006379329179409915,1.4183960095778476,-0.5729813897037802
MTHansen,BAC.HMSA_Rec012_Mem063.20190831_2019,2019,48.10607,-112.65005,2019-08-31,2019-11-07,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,0.3022173372075441
MTHansen,BAC.HMSA_Rec020_Mem081.20190831_2019,2019,48.12629,-112.64433,2019-08-31,2019-11-04,65,Forest,Wild,3,0.037086710793786226,1.4646630223684807,1.3055928580302318
MTHansen,BAC.HMSA_Rec023_Mem064.20190831_2019,2019,48.11958,-112.65015,2019-08-31,2019-11-07,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,0.5603963631268905
MTHansen,BAC.HMSA_Rec027_Mem091.20190831_2019,2019,48.11079,-112.64165,2019-08-31,2019-11-07,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,0.5603963631268905
MTHansen,BAC.HMSA_Rec030_Mem089.20190831_2019,2019,48.13914,-112.64834,2019-08-31,2019-11-04,65,Forest,Wild,3,1,1.4646630223684807,1.2482081954243702
MTHansen,BAC.HMSA_Rec032_Mem075.20190831_2019,2019,48.12597,-112.65501,2019-08-31,2019-11-04,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,1.6221323206255363
MTHansen,BAC.HMSA_Rec036_Mem018.20190831_2019,2019,48.13256,-112.63963,2019-08-31,2019-11-04,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,0.5294708889506424
MTHansen,BAC.HMSA_Rec040_Mem068.20190831_2019,2019,48.13319,-112.64832,2019-08-31,2019-11-04,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,1.2482081954243702
MTUrbanWild,BAC.MSLA_Bro007_Mem209.20190730_2019,2019,46.87617,-113.96255,2019-08-18,2019-11-14,88,Forest,Suburban,2,0.006121167036456783,-0.08528190611772707,2.5897901856160646
MTUrbanWild,BAC.MSLA_Bro031_Mem207.20190730_2019,2019,46.89771,-114.17403,2019-08-17,2019-10-22,66,Forest,Suburban,1,0.009204962146988084,-0.5865078780162454,2.127805273233358
MTUrbanWild,BAC.MSLA_Bro072_Mem212.20190904_2019,2019,46.81645,-114.01799,2019-09-04,2019-11-19,76,Forest,Suburban,3,0.007517425079859043,1.0226912949211147,3.312979808135085
MTUrbanWild,BAC.MSLA_Bro074_Mem214.20190823_2019,2019,46.86262,-113.94162,2019-08-23,2019-11-14,83,Forest,Suburban,2,0.006601102102050371,0.005301100851889074,1.907362620672257
MTUrbanWild,BAC.MSLA_Bro078_Mem194.20190904_2019,2019,46.81915,-114.01406,2019-09-04,2019-11-19,76,Forest,Suburban,3,0.007517425079859043,1.0226912949211147,2.497412569355621
MTHansen,BAC.TRMR_Bro016_Mem116.20190830_2019,2019,48.09591,-112.68559,2019-08-30,2019-11-06,68,Forest,Wild,3,0.03512670361536599,1.3299443674781033,0.6056901535426866
MTHansen,BAC.TRMR_Bro021_Mem210.20190830_2019,2019,48.11224,-112.65851,2019-08-30,2019-11-07,69,Forest,Wild,2,0.03409090934014177,0.32877433153757596,0.1307832674232468
MTHansen,BAC.TRMR_Bro029_Mem195.20190830_2019,2019,48.06104,-112.73254,2019-08-30,2019-11-05,67,Forest,Wild,2,0.03594716324192238,0.3860201271599895,0.22339549811984172
