"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Nights","Habitat","Development_Level","Humans_Per_Camera","Humans_Per_Camera_Per_Day"
"374","Cienega","AZ_Grassland_Cienega_17_2019",2019,32.180767,-109.517283,"2019-09-14","2019-11-22",69,"Grassland","Wild",7,0.101449275362319
"375","Cienega","AZ_Grassland_Cienega_1_2019",2019,32.16413,-109.471,"2019-09-05","2019-11-20",76,"Grassland","Wild",7,0.0921052631578947
"376","Cienega","AZ_Grassland_Cienega_22_2019",2019,32.16578,-109.51025,"2019-09-08","2019-11-19",72,"Grassland","Wild",0,0
"377","Cienega","AZ_Grassland_Cienega_25_2019",2019,32.15255,-109.5337,"2019-08-17","2019-09-14",28,"Grassland","Wild",1,0.0357142857142857
"378","Cienega","AZ_Grassland_Cienega_29_2019",2019,32.180233,-109.475633,"2019-09-08","2019-11-18",71,"Grassland","Wild",0,0
"379","SRER1","AZ_Grassland_Rural_SRER1_2023_1_2023",2023,31.782896,-110.842315,"2023-09-16","2023-10-16",30,"Grassland","Rural",2,0.0666666666666667
"380","SRER1","AZ_Grassland_Rural_SRER1_2023_2_2023",2023,31.78421,-110.8409,"2023-09-16","2023-10-14",28,"Grassland","Rural",4,0.142857142857143
"381","SRER1","AZ_Grassland_Rural_SRER1_2023_3_2023",2023,31.785685,-110.83941,"2023-09-16","2023-10-30",44,"Grassland","Rural",3,0.0681818181818182
"382","SRER1","AZ_Grassland_Rural_SRER1_2023_4_2023",2023,31.786767,-110.838234,"2023-09-16","2023-10-03",17,"Grassland","Rural",2,0.117647058823529
"383","SRER1","AZ_Grassland_Rural_SRER1_2023_5_2023",2023,31.78866,-110.836336,"2023-09-16","2023-09-25",9,"Grassland","Rural",1,0.111111111111111
"384","SRER1","AZ_Grassland_Rural_SRER1_2023_6_2023",2023,31.790183,-110.834022,"2023-09-16","2023-11-10",55,"Grassland","Rural",2,0.0363636363636364
"385","SRER1","AZ_Grassland_Rural_SRER1_2023_7_2023",2023,31.791844,-110.832952,"2023-09-16","2023-11-10",55,"Grassland","Rural",2,0.0363636363636364
"386","SRER1","AZ_Grassland_Rural_SRER1_2023_8_2023",2023,31.793334,-110.831369,"2023-09-16","2023-11-10",55,"Grassland","Rural",6,0.109090909090909
"387","SRER1","AZ_Grassland_Rural_SRER1_2023_9_2023",2023,31.791851,-110.829281,"2023-09-16","2023-09-28",12,"Grassland","Rural",1,0.0833333333333333
"388","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_11_2019",2019,35.28934,-111.709,"2019-08-24","2019-10-14",51,"Shrubland","Wild",0,0
"389","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_12_2019",2019,35.28113,-111.709,"2019-08-26","2019-10-11",46,"Shrubland","Wild",0,0
"390","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_13_2019",2019,35.27785,-111.7,"2019-08-23","2019-10-14",52,"Shrubland","Wild",0,0
"391","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_14_2019",2019,35.33744,-111.717,"2019-08-23","2019-10-13",51,"Shrubland","Wild",0,0
"392","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_7_2019",2019,35.35103,-111.718,"2019-08-23","2019-10-13",51,"Shrubland","Wild",0,0
"393","VermilionCliffs","AZ_Grassland_Vermilion_Cliffs_8_2019",2019,35.36407,-111.717,"2019-08-23","2019-10-13",51,"Shrubland","Wild",0,0
"437","MTHansen","BAC.AROW_Rec003_Mem048.20190901_2019",2019,48.04665,-112.7181,"2019-09-01","2019-11-05",65,"Forest","Wild",2,0.0307692307692308
"438","MTHansen","BAC.AROW_Rec007_Mem088.20190831_2019",2019,48.09068,-112.62233,"2019-08-31","2019-11-07",68,"Forest","Wild",6,0.0882352941176471
"439","MTHansen","BAC.AROW_Rec010_Mem098.20190831_2019",2019,48.10016,-112.63235,"2019-08-31","2019-11-07",68,"Forest","Wild",2,0.0294117647058824
"440","MTHansen","BAC.AROW_Rec018_Mem059.20190901_2019",2019,48.07125,-112.71844,"2019-09-01","2019-11-05",65,"Forest","Wild",2,0.0307692307692308
