"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Days","Humans_Per_Camera_Per_Day"
"424","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec036_Mem069.20200831_2020",2020,48.11409,-112.69596,"2020-08-31","2020-11-01",62,0.032258064516129
"425","MTHansen","BAC.TRMR_Rec036_Mem165.20210529 08/23/2021_2021",2021,48.11409,-112.69596,"2021-08-23","2021-10-24",62,0.0161290322580645
"426","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec037_Mem087.20200901_2020",2020,48.08261,-112.63763,"2020-09-01","2020-11-01",61,0.0983606557377049
"427","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec039_Mem094.20200831_2020",2020,48.08772,-112.73944,"2020-08-31","2020-10-31",61,0.0655737704918033
"428","MTHansen","BAC.TRMR_Rec039_Mem137.20210529_2021",2021,48.08772,-112.73944,"2021-08-23","2021-10-23",61,0.0163934426229508
"429","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec040_Mem100.20200831_2020",2020,48.12469,-112.66968,"2020-08-31","2020-11-01",62,0.032258064516129
"430","MTHansen","BAC.TRMR_Rec040_Mem151.20210529_2021",2021,48.12469,-112.66968,"2021-08-23","2021-10-24",62,0.0483870967741935
"431","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec041_Mem099.20200831_2020",2020,48.09295,-112.70779,"2020-08-31","2020-10-31",61,0.0327868852459016
"432","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec042_Mem088.20200901_2020",2020,48.07277,-112.63412,"2020-09-01","2020-11-01",61,0.0655737704918033
"433","MTHansen","BAC.TRMR_Rec042_Mem144.20210530_2021",2021,48.07277,-112.63412,"2021-08-23","2021-10-24",62,0.0161290322580645
